"산업별(1)","산업별(2)",시점,데이터
"섬유・의류","소계",2009.01,229.86
"섬유・의류","소계",2009.02,260.67
"섬유・의류","소계",2009.03,286.85
"섬유・의류","소계",2009.04,389.14
"섬유・의류","소계",2009.05,363.56
"섬유・의류","소계",2009.06,356.7
"섬유・의류","소계",2009.07,373.21
"섬유・의류","소계",2009.08,398.54
"섬유・의류","소계",2009.09,336.63
"섬유・의류","소계",2009.10,388.33
"섬유・의류","소계",2009.11,295.45
"섬유・의류","소계",2009.12,265.5
"섬유・의류","소계",2010.01,260.6
"섬유・의류","소계",2010.02,263.55
"섬유・의류","소계",2010.03,283.44
"섬유・의류","소계",2010.04,274.54
"섬유・의류","소계",2010.05,225.69
"섬유・의류","소계",2010.06,215.41
"섬유・의류","소계",2010.07,208.38
"섬유・의류","소계",2010.08,216.26
"섬유・의류","소계",2010.09,218.38
"섬유・의류","소계",2010.10,246.47
"섬유・의류","소계",2010.11,237.74
"섬유・의류","소계",2010.12,218.32
"섬유・의류","소계",2011.01,220.45
"섬유・의류","소계",2011.02,231.75
"섬유・의류","소계",2011.03,239.26
"섬유・의류","소계",2011.04,227.88
"섬유・의류","소계",2011.05,198.46
"섬유・의류","소계",2011.06,192.96
"섬유・의류","소계",2011.07,220
"섬유・의류","소계",2011.08,190.58
"섬유・의류","소계",2011.09,173.97
"섬유・의류","소계",2011.10,195.71
"섬유・의류","소계",2011.11,208.93
"섬유・의류","소계",2011.12,239.03
"섬유・의류","소계",2012.01,238.08
"섬유・의류","소계",2012.02,257.59
"섬유・의류","소계",2012.03,241.22
"섬유・의류","소계",2012.04,221.55
"섬유・의류","소계",2012.05,209.4
"섬유・의류","소계",2012.06,218.35
"섬유・의류","소계",2012.07,199.74
"섬유・의류","소계",2012.08,197.93
"섬유・의류","소계",2012.09,200.62
"섬유・의류","소계",2012.10,188.4
"섬유・의류","소계",2012.11,182.66
"섬유・의류","소계",2012.12,178.28
"섬유・의류","소계",2013.01,189.25
"섬유・의류","소계",2013.02,206.14
