"시점",전월비 (%),전월비 (%),전월비 (%),전월비 (%),전년동월비(%),전년동월비(%),전년동월비(%),전년동월비(%),전년누계비(%),전년누계비(%),전년누계비(%),전년누계비(%)
"시점",생활물가지수,신선식품지수,식료품및에너지제외지수,농산물및석유류제외지수,생활물가지수,신선식품지수,식료품및에너지제외지수,농산물및석유류제외지수,생활물가지수,신선식품지수,식료품및에너지제외지수,농산물및석유류제외지수
"1996.05",1.0,3.6,0.3,0.4,5.4,-5.3,5.1,5.5,4.9,-10.5,5.4,5.6
"1996.06",-0.1,-0.5,0.2,0.1,6.0,0.6,5.2,5.4,5.1,-8.8,5.4,5.6
"1996.07",1.2,0.0,0.2,0.3,7.3,2.9,4.9,5.1,5.4,-7.2,5.3,5.5
"1996.08",0.5,1.0,0.5,0.2,7.1,0.9,4.9,4.9,5.6,-6.2,5.3,5.4
"1996.09",0.3,-0.6,0.2,0.3,5.8,-6.1,4.7,4.8,5.6,-6.2,5.2,5.4
"1996.10",0.0,-1.3,0.2,0.1,6.6,2.8,4.8,4.8,5.7,-5.4,5.2,5.3
"1996.11",0.1,-1.3,0.0,0.0,7.4,8.2,4.5,4.3,5.9,-4.3,5.1,5.2
"1996.12",0.6,1.9,0.1,0.1,7.0,10.3,4.1,3.8,6.0,-3.2,5.0,5.1
"1997.01",1.1,1.8,0.4,0.4,6.6,8.6,3.8,3.5,6.6,8.6,3.8,3.5
"1997.02",0.7,2.4,0.4,0.3,6.8,9.4,3.9,3.5,6.7,9.0,3.8,3.5
"1997.03",0.3,-0.5,0.7,0.6,6.8,9.6,3.5,3.2,6.7,9.2,3.7,3.4
"1997.04",0.5,3.7,0.3,0.3,6.3,10.5,3.3,3.0,6.6,9.5,3.6,3.3
"1997.05",-0.1,-2.2,0.3,0.4,5.2,4.3,3.3,2.9,6.3,8.4,3.6,3.2
"1997.06",0.2,-0.7,0.2,0.2,5.5,4.2,3.3,3.0,6.2,7.7,3.5,3.2
"1997.07",0.2,0.7,0.2,0.4,4.4,4.9,3.3,3.1,5.9,7.3,3.5,3.2
"1997.08",1.2,4.8,0.4,0.6,5.1,8.8,3.2,3.5,5.8,7.5,3.5,3.2
"1997.09",0.7,1.6,0.4,0.5,5.6,11.2,3.4,3.7,5.8,7.9,3.5,3.3
"1997.10",-0.1,-2.3,0.2,0.1,5.5,10.1,3.4,3.7,5.8,8.1,3.4,3.3
"1997.11",0.4,-2.2,0.1,0.1,5.8,9.1,3.5,3.8,5.8,8.2,3.4,3.4
"1997.12",4.3,2.0,0.5,0.5,9.7,9.3,3.9,4.2,6.1,8.3,3.5,3.4
"1998.01",3.4,0.9,1.8,2.2,12.2,8.3,5.3,6.1,12.2,8.3,5.3,6.1
"1998.02",2.4,0.2,1.0,1.1,14.1,6.0,6.0,7.0,13.2,7.1,5.7,6.6
"1998.03",-1.0,0.6,0.8,1.0,12.7,7.1,6.1,7.4,13.0,7.1,5.8,6.9
"1998.04",0.5,3.7,0.2,0.2,12.7,7.0,6.0,7.3,12.9,7.1,5.9,7.0
"1998.05",-0.8,1.4,-0.2,0.0,11.9,10.9,5.5,6.9,12.7,7.8,5.8,7.0
"1998.06",-0.7,-6.6,-0.2,-0.1,10.9,4.3,5.2,6.6,12.4,7.3,5.7,6.9
"1998.07",0.1,1.6,0.0,-0.2,10.7,5.2,5.0,6.1,12.2,7.0,5.6,6.8
"1998.08",0.8,8.0,-0.3,-0.3,10.4,8.4,4.3,5.2,11.9,7.2,5.4,6.6
"1998.09",0.7,1.8,0.0,0.1,10.4,8.6,3.9,4.8,11.8,7.3,5.3,6.4
"1998.10",0.8,1.6,0.0,0.0,11.4,12.9,3.7,4.7,11.7,7.9,5.1,6.2
"1998.11",-0.5,-4.0,-0.1,-0.2,10.4,10.8,3.5,4.5,11.6,8.2,5.0,6.1
"1998.12",-0.2,0.3,-0.2,0.1,5.7,8.9,2.9,4.0,11.1,8.2,4.8,5.9
"1999.01",0.0,2.2,0.0,0.0,2.2,10.3,1.1,1.8,2.2,10.3,1.1,1.8
"1999.02",0.6,5.0,0.1,0.2,0.4,15.7,0.2,0.8,1.3,13.0,0.6,1.3
"1999.03",0.5,1.4,0.2,0.2,1.8,16.6,-0.4,0.0,1.5,14.2,0.3,0.8
"1999.04",0.6,1.7,-0.1,-0.1,1.9,14.3,-0.7,-0.3,1.6,14.2,0.0,0.6
"1999.05",-0.2,-3.2,-0.1,-0.1,2.6,9.2,-0.6,-0.3,1.8,13.2,-0.1,0.4
"1999.06",-0.9,-7.7,-0.1,0.0,2.4,7.8,-0.5,-0.3,1.9,12.3,-0.2,0.3
"1999.07",-0.5,-4.1,-0.1,-0.1,1.9,1.8,-0.6,-0.2,1.9,10.8,-0.2,0.2
"1999.08",1.8,12.9,0.0,0.3,2.8,6.5,-0.4,0.3,2.0,10.3,-0.2,0.2
"1999.09",0.5,0.6,0.0,0.1,2.6,5.3,-0.4,0.3,2.1,9.7,-0.3,0.2
"1999.10",1.3,4.1,0.2,0.2,3.2,7.8,-0.2,0.5,2.2,9.5,-0.3,0.3
"1999.11",-0.3,-5.5,0.0,0.0,3.3,6.2,-0.1,0.7,2.3,9.2,-0.2,0.3
"1999.12",-0.4,-2.1,0.0,-0.1,3.1,3.7,0.1,0.5,2.4,8.7,-0.2,0.3
"2000.01",0.5,4.0,0.6,0.5,3.6,5.5,0.7,1.1,3.6,5.5,0.7,1.1
"2000.02",0.5,2.0,0.2,0.2,3.5,2.5,0.8,1.1,3.6,4.0,0.7,1.1
"2000.03",0.9,-0.8,0.7,0.6,4.0,0.3,1.3,1.5,3.7,2.7,0.9,1.2
"2000.04",-0.6,-4.1,0.1,0.0,2.8,-5.4,1.5,1.6,3.5,0.6,1.1,1.3
"2000.05",-1.1,-6.8,-0.3,-0.2,1.8,-9.0,1.3,1.5,3.1,-1.3,1.1,1.4
"2000.06",0.7,-0.8,0.1,0.1,3.4,-2.1,1.5,1.6,3.2,-1.4,1.2,1.4
"2000.07",0.7,2.5,0.4,0.3,4.6,4.5,2.0,2.0,3.4,-0.7,1.3,1.5
